うむ、美味い,ふん、先が思いやられるな,悪くない,お前のような小娘に|俺の主人が務まるものか,認めざるを得ん、か。|な、何も言っておらん！
ありがとう！|とっても美味しいよ！,ごめんね、これは|ちょっと食べられないの,気持ちいいなぁ,ちゃんと休めた？|無理しないでね！,今日もとっても|楽しかったね！
ん〜！|今日も美味しいわねぇ♪,これは食べたくない|って言ったでしょ,いつでも綺麗にしないと！,今日はいい男|居るかしら♪,さぁ、あんたのために|今日もやるわよ！
これ美味しい！|もう一個ちょうだい！,これまずい！,あ〜気持ちいな〜,僕と一緒に|遊ぼうよ！,いつも会いに来てくれて|ありがとう!
フクロウ
これ…美味しい,美味しく…ない,うん…いい,ｚｚｚ…？|おはよう。,頭…撫でて欲しい
サイ
あ、あの…！|これ、好きなんだ…！,お肉は食べたくない…かな,あ、ありがとう…！,わっ…び、びっくりした,ま、また明日も来てくれる？
ポニー
もっとちょうだ〜い！,うぇぇ…|美味しくな〜い…,わーい、ありがとう！,うぅ…転んじゃった…,走るのも好きだけど、|あなたとのお話しも大好き！
フラミンゴ
美味しい〜♪,食べたくないな〜,気持ちよかった〜♪,今日もいいお天気ね！,今日は何の|お話しよっか！
やっぱり肉だな,まあ食べるけどよ,好きにしろ,全然人が来ねえな,ここを復興させる|ために俺も頑張るぜ
食べるって幸せだな～,ちょっと苦手かもね～,ふぅ、すっきりした〜,まだ眠いよ〜,会いに来てくれるって|嬉しいね！
やっぱりコレだよな！,ちょっと微妙かもな！,これでおれっちの羽も|復活だぜ！,おれっちの羽|かっこいいだろ！,今日もお客がいっぱいだな！|調子がいいぜ！
よく調べてますね,勉強不足ですよ,ああ、どうもありがとう,すまない|今考え事をしているんだ,キミのためなら|知恵を貸そう
んーおいしー！,私これキラーイ！,気ー持ちい〜っ♪,ねぇねぇ！|新しいおもちゃ欲しい！,この前も来たお客さんだ！|私の事好きなのかなっ？
うふふ〜とぉっても|美味しいです〜,あらあら〜|これは食べられません〜,良い気持ちです〜,のんびりした良い所ですね〜,お客さんや貴女と会える|この動物園が大好きです〜
悪くないわね,なめてるのかしら？,ご苦労さま,私は寝るから。|後はご勝手に,あら、園長さん。え？|楽しそう？ふふ、まあね,
美味しいもの食べて|ごろごろするの最高…,これはないだろー？,あーいいねぇー,|こんな気持ちのいい日に|寝ないのは損だろー,さてと、|ガキと遊んでくるかー
ふふん♪ますます|可愛くなっちゃう！,もーなんなのー？,また可愛くなっちゃった♪,なーんかパッとしない所！,ふふっ！最っ強に可愛い|私をよーく見てなさい！